id,title,slug,tags
1,Two Sum,two-sum,"['Array', 'Hash Table']"
2,Add Two Numbers,add-two-numbers,"['Linked List', 'Math', 'Recursion']"
3,Longest Substring Without Repeating Characters,longest-substring-without-repeating-characters,"['Hash Table', 'String', 'Sliding Window']"
4,Median of Two Sorted Arrays,median-of-two-sorted-arrays,"['Array', 'Binary Search', 'Divide and Conquer']"
5,Longest Palindromic Substring,longest-palindromic-substring,"['Two Pointers', 'String', 'Dynamic Programming']"
6,Zigzag Conversion,zigzag-conversion,['String']
7,Reverse Integer,reverse-integer,['Math']
8,String to Integer (atoi),string-to-integer-atoi,['String']
9,Palindrome Number,palindrome-number,['Math']
10,Regular Expression Matching,regular-expression-matching,"['String', 'Dynamic Programming', 'Recursion']"
11,Container With Most Water,container-with-most-water,"['Array', 'Two Pointers', 'Greedy']"
12,Integer to Roman,integer-to-roman,"['Hash Table', 'Math', 'String']"
13,Roman to Integer,roman-to-integer,"['Hash Table', 'Math', 'String']"
14,Longest Common Prefix,longest-common-prefix,"['String', 'Trie']"
15,3Sum,3sum,"['Array', 'Two Pointers', 'Sorting']"
16,3Sum Closest,3sum-closest,"['Array', 'Two Pointers', 'Sorting']"
17,Letter Combinations of a Phone Number,letter-combinations-of-a-phone-number,"['Hash Table', 'String', 'Backtracking']"
18,4Sum,4sum,"['Array', 'Two Pointers', 'Sorting']"
19,Remove Nth Node From End of List,remove-nth-node-from-end-of-list,"['Linked List', 'Two Pointers']"
20,Valid Parentheses,valid-parentheses,"['String', 'Stack']"
21,Merge Two Sorted Lists,merge-two-sorted-lists,"['Linked List', 'Recursion']"
22,Generate Parentheses,generate-parentheses,"['String', 'Dynamic Programming', 'Backtracking']"
23,Merge k Sorted Lists,merge-k-sorted-lists,"['Linked List', 'Divide and Conquer', 'Heap (Priority Queue)', 'Merge Sort']"
24,Swap Nodes in Pairs,swap-nodes-in-pairs,"['Linked List', 'Recursion']"
25,Reverse Nodes in k-Group,reverse-nodes-in-k-group,"['Linked List', 'Recursion']"
26,Remove Duplicates from Sorted Array,remove-duplicates-from-sorted-array,"['Array', 'Two Pointers']"
27,Remove Element,remove-element,"['Array', 'Two Pointers']"
28,Find the Index of the First Occurrence in a String,find-the-index-of-the-first-occurrence-in-a-string,"['Two Pointers', 'String', 'String Matching']"
29,Divide Two Integers,divide-two-integers,"['Math', 'Bit Manipulation']"
30,Substring with Concatenation of All Words,substring-with-concatenation-of-all-words,"['Hash Table', 'String', 'Sliding Window']"
31,Next Permutation,next-permutation,"['Array', 'Two Pointers']"
32,Longest Valid Parentheses,longest-valid-parentheses,"['String', 'Dynamic Programming', 'Stack']"
33,Search in Rotated Sorted Array,search-in-rotated-sorted-array,"['Array', 'Binary Search']"
34,Find First and Last Position of Element in Sorted Array,find-first-and-last-position-of-element-in-sorted-array,"['Array', 'Binary Search']"
35,Search Insert Position,search-insert-position,"['Array', 'Binary Search']"
36,Valid Sudoku,valid-sudoku,"['Array', 'Hash Table', 'Matrix']"
37,Sudoku Solver,sudoku-solver,"['Array', 'Hash Table', 'Backtracking', 'Matrix']"
38,Count and Say,count-and-say,['String']
39,Combination Sum,combination-sum,"['Array', 'Backtracking']"
